93 - 73 = 20
10 + 47 = 57
77 - 91 = -14
97 + 97 = 194
18 - 58 = -40
74 + 86 = 160
86 - 81 = 5
34 - 42 = -8
83 + 69 = 152
91 + 98 = 189
13 + 48 = 61
67 + 47 = 114
56 + 18 = 74
96 + 45 = 141
38 - 50 = -12
31 - 14 = 17
2 + 37 = 39
52 + 57 = 109
69 + 36 = 105
4 + 41 = 45
35 - 0 = 35
18 + 30 = 48
97 - 65 = 32
8 - 27 = -19
89 - 80 = 9
94 + 91 = 185
74 - 14 = 60
47 - 78 = -31
72 + 87 = 159
27 + 93 = 120
2 + 78 = 80
50 - 2 = 48
79 + 68 = 147
46 - 68 = -22
54 + 16 = 70
68 + 0 = 68
82 + 12 = 94
81 - 18 = 63
25 - 58 = -33
87 + 97 = 184
23 - 70 = -47
9 + 87 = 96
3 - 71 = -68
78 - 23 = 55
64 + 35 = 99
34 + 2 = 36
54 - 25 = 29
63 + 5 = 68
77 + 68 = 145
13 - 32 = -19
